,F1 score,accuracy score,model,time,features
1,1.0,1.0,Decision Tree,0.006960868835449219,43
2,1.0,1.0,Random Forest,0.06125807762145996,43
3,1.0,1.0,K-Nearest Neighbors,0.24815082550048828,43
4,1.0,1.0,SVM,0.713942289352417,43
0,1.0,1.0,Logistic Regression,0.015694856643676758,44
1,1.0,1.0,Decision Tree,0.005018711090087891,44
2,1.0,1.0,Random Forest,0.04694080352783203,44
3,1.0,1.0,K-Nearest Neighbors,0.18807005882263184,44
4,1.0,1.0,SVM,0.6823492050170898,44
0,1.0,1.0,Logistic Regression,0.018030166625976562,45
1,1.0,1.0,Decision Tree,0.006103992462158203,45
2,1.0,1.0,Random Forest,0.05936169624328613,45
3,1.0,1.0,K-Nearest Neighbors,0.17347002029418945,45
4,1.0,1.0,SVM,0.5800659656524658,45
0,1.0,1.0,Logistic Regression,0.01721930503845215,46
1,1.0,1.0,Decision Tree,0.005556344985961914,46
2,1.0,1.0,Random Forest,0.05133390426635742,46
3,1.0,1.0,K-Nearest Neighbors,0.15996098518371582,46
4,1.0,1.0,SVM,0.5730218887329102,46
0,1.0,1.0,Logistic Regression,0.015545368194580078,47
1,1.0,1.0,Decision Tree,0.005212306976318359,47
2,1.0,1.0,Random Forest,0.04488325119018555,47
3,1.0,1.0,K-Nearest Neighbors,0.1569209098815918,47
4,1.0,1.0,SVM,0.6330399513244629,47
0,1.0,1.0,Logistic Regression,0.026877164840698242,48
1,1.0,1.0,Decision Tree,0.012485027313232422,48
2,1.0,1.0,Random Forest,0.058292388916015625,48
3,1.0,1.0,K-Nearest Neighbors,0.18566036224365234,48
4,1.0,1.0,SVM,0.6703617572784424,48
0,1.0,1.0,Logistic Regression,0.015308856964111328,49
1,1.0,1.0,Decision Tree,0.005324125289916992,49
2,1.0,1.0,Random Forest,0.04464125633239746,49
3,1.0,1.0,K-Nearest Neighbors,0.19639015197753906,49
4,1.0,1.0,SVM,0.7006940841674805,49
0,1.0,1.0,Logistic Regression,0.017015933990478516,50
1,1.0,1.0,Decision Tree,0.0068089962005615234,50
2,1.0,1.0,Random Forest,0.06441068649291992,50
3,1.0,1.0,K-Nearest Neighbors,0.19357800483703613,50
4,1.0,1.0,SVM,0.9319868087768555,50
0,1.0,1.0,Logistic Regression,0.01772475242614746,51
1,1.0,1.0,Decision Tree,0.006198883056640625,51
2,1.0,1.0,Random Forest,0.0590519905090332,51
3,1.0,1.0,K-Nearest Neighbors,0.16851091384887695,51
4,1.0,1.0,SVM,0.875175952911377,51
0,1.0,1.0,Logistic Regression,0.016999006271362305,52
1,1.0,1.0,Decision Tree,0.005446910858154297,52
2,1.0,1.0,Random Forest,0.047846078872680664,52
3,1.0,1.0,K-Nearest Neighbors,0.20143532752990723,52
4,1.0,1.0,SVM,0.9206202030181885,52
0,1.0,1.0,Logistic Regression,0.015647411346435547,53
1,1.0,1.0,Decision Tree,0.005506753921508789,53
2,1.0,1.0,Random Forest,0.04569864273071289,53
3,1.0,1.0,K-Nearest Neighbors,0.21085810661315918,53
4,1.0,1.0,SVM,0.8856551647186279,53
0,1.0,1.0,Logistic Regression,0.015662193298339844,54
1,1.0,1.0,Decision Tree,0.005706787109375,54
2,1.0,1.0,Random Forest,0.05316781997680664,54
3,1.0,1.0,K-Nearest Neighbors,0.2221832275390625,54
4,1.0,1.0,SVM,1.126249074935913,54
0,1.0,1.0,Logistic Regression,0.015807151794433594,55
1,1.0,1.0,Decision Tree,0.005316019058227539,55
2,1.0,1.0,Random Forest,0.0798039436340332,55
3,1.0,1.0,K-Nearest Neighbors,0.18153905868530273,55
4,1.0,1.0,SVM,1.0681006908416748,55
0,1.0,1.0,Logistic Regression,0.01547384262084961,56
1,1.0,1.0,Decision Tree,0.0054781436920166016,56
2,1.0,1.0,Random Forest,0.04399514198303223,56
3,1.0,1.0,K-Nearest Neighbors,0.172194242477417,56
4,1.0,1.0,SVM,1.0713768005371094,56
0,1.0,1.0,Logistic Regression,0.018114805221557617,57
1,1.0,1.0,Decision Tree,0.005151033401489258,57
2,1.0,1.0,Random Forest,0.04648423194885254,57
3,1.0,1.0,K-Nearest Neighbors,0.21400237083435059,57
4,1.0,1.0,SVM,1.2136850357055664,57
0,1.0,1.0,Logistic Regression,0.016362905502319336,58
1,1.0,1.0,Decision Tree,0.005142688751220703,58
2,1.0,1.0,Random Forest,0.04942178726196289,58
3,1.0,1.0,K-Nearest Neighbors,0.20270013809204102,58
4,1.0,1.0,SVM,1.2073249816894531,58
