,F1 score,accuracy score,model,time,features
2,1.0,1.0,Random Forest,0.054961204528808594,33
3,1.0,1.0,K-Nearest Neighbors,0.1847376823425293,33
4,0.9978476108480413,0.9979491386382281,SVM,0.8266799449920654,33
0,0.9748917748917749,0.9762100082034455,Logistic Regression,0.02002406120300293,34
1,1.0,1.0,Decision Tree,0.005378007888793945,34
2,1.0,1.0,Random Forest,0.056697845458984375,34
3,1.0,1.0,K-Nearest Neighbors,0.19750404357910156,34
4,0.9978476108480413,0.9979491386382281,SVM,0.7949349880218506,34
0,0.9844290657439446,0.985233798195242,Logistic Regression,0.01912522315979004,35
1,1.0,1.0,Decision Tree,0.00551295280456543,35
2,1.0,1.0,Random Forest,0.05965995788574219,35
3,1.0,1.0,K-Nearest Neighbors,0.19594931602478027,35
4,0.9978476108480413,0.9979491386382281,SVM,0.7536649703979492,35
0,0.9891445940078158,0.9897456931911403,Logistic Regression,0.0182340145111084,36
1,1.0,1.0,Decision Tree,0.005335092544555664,36
2,1.0,1.0,Random Forest,0.058789968490600586,36
3,1.0,1.0,K-Nearest Neighbors,0.1948862075805664,36
4,0.9978476108480413,0.9979491386382281,SVM,0.7095611095428467,36
0,0.9891445940078158,0.9897456931911403,Logistic Regression,0.017355918884277344,37
1,1.0,1.0,Decision Tree,0.006392717361450195,37
2,1.0,1.0,Random Forest,0.057565927505493164,37
3,1.0,1.0,K-Nearest Neighbors,0.2010507583618164,37
4,0.9978476108480413,0.9979491386382281,SVM,0.7830789089202881,37
0,0.993514915693904,0.9938474159146842,Logistic Regression,0.019104480743408203,38
1,1.0,1.0,Decision Tree,0.006618022918701172,38
2,1.0,1.0,Random Forest,0.05748105049133301,38
3,1.0,1.0,K-Nearest Neighbors,0.2071847915649414,38
4,0.9978476108480413,0.9979491386382281,SVM,0.7674822807312012,38
0,0.993514915693904,0.9938474159146842,Logistic Regression,0.01979207992553711,39
1,1.0,1.0,Decision Tree,0.006693124771118164,39
2,1.0,1.0,Random Forest,0.05931997299194336,39
3,1.0,1.0,K-Nearest Neighbors,0.20992088317871094,39
4,0.9978476108480413,0.9979491386382281,SVM,0.8676559925079346,39
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.022081851959228516,40
1,1.0,1.0,Decision Tree,0.008481264114379883,40
2,1.0,1.0,Random Forest,0.06830596923828125,40
3,1.0,1.0,K-Nearest Neighbors,0.2989029884338379,40
4,0.9978476108480413,0.9979491386382281,SVM,0.8300621509552002,40
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.021505117416381836,41
1,1.0,1.0,Decision Tree,0.007897138595581055,41
2,1.0,1.0,Random Forest,0.06649899482727051,41
3,1.0,1.0,K-Nearest Neighbors,0.25977587699890137,41
4,0.9978476108480413,0.9979491386382281,SVM,0.9544541835784912,41
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.019919872283935547,42
1,1.0,1.0,Decision Tree,0.007551670074462891,42
2,1.0,1.0,Random Forest,0.06136202812194824,42
3,1.0,1.0,K-Nearest Neighbors,0.29160070419311523,42
4,0.9978476108480413,0.9979491386382281,SVM,0.8880622386932373,42
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.02007269859313965,43
1,1.0,1.0,Decision Tree,0.007066965103149414,43
2,1.0,1.0,Random Forest,0.05782127380371094,43
3,1.0,1.0,K-Nearest Neighbors,0.22918295860290527,43
4,0.9978476108480413,0.9979491386382281,SVM,0.813241720199585,43
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.019305944442749023,44
1,1.0,1.0,Decision Tree,0.007458686828613281,44
2,1.0,1.0,Random Forest,0.0568385124206543,44
3,1.0,1.0,K-Nearest Neighbors,0.23484206199645996,44
4,0.9978476108480413,0.9979491386382281,SVM,0.8961598873138428,44
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.01966691017150879,45
1,1.0,1.0,Decision Tree,0.007412910461425781,45
2,1.0,1.0,Random Forest,0.05884814262390137,45
3,1.0,1.0,K-Nearest Neighbors,0.2394571304321289,45
4,0.9978476108480413,0.9979491386382281,SVM,0.9215800762176514,45
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.01930689811706543,46
1,1.0,1.0,Decision Tree,0.0074961185455322266,46
2,1.0,1.0,Random Forest,0.05876302719116211,46
3,1.0,1.0,K-Nearest Neighbors,0.2401731014251709,46
4,0.9978476108480413,0.9979491386382281,SVM,0.9056861400604248,46
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.019541025161743164,47
1,1.0,1.0,Decision Tree,0.008025169372558594,47
2,1.0,1.0,Random Forest,0.059584856033325195,47
3,1.0,1.0,K-Nearest Neighbors,0.24667906761169434,47
4,0.9978476108480413,0.9979491386382281,SVM,1.0086829662322998,47
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.022578716278076172,48
1,1.0,1.0,Decision Tree,0.008106231689453125,48
2,1.0,1.0,Random Forest,0.05795025825500488,48
3,1.0,1.0,K-Nearest Neighbors,0.26539087295532227,48
4,0.9978476108480413,0.9979491386382281,SVM,1.0911521911621094,48
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.022051334381103516,49
1,1.0,1.0,Decision Tree,0.00842595100402832,49
2,1.0,1.0,Random Forest,0.06131386756896973,49
3,1.0,1.0,K-Nearest Neighbors,0.26545095443725586,49
4,0.9978476108480413,0.9979491386382281,SVM,1.2343649864196777,49
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.02208733558654785,50
1,1.0,1.0,Decision Tree,0.00844264030456543,50
2,1.0,1.0,Random Forest,0.059951066970825195,50
3,1.0,1.0,K-Nearest Neighbors,0.2592508792877197,50
4,0.9978476108480413,0.9979491386382281,SVM,1.246605634689331,50
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.02301478385925293,51
1,1.0,1.0,Decision Tree,0.00849771499633789,51
2,1.0,1.0,Random Forest,0.06362795829772949,51
3,1.0,1.0,K-Nearest Neighbors,0.35393214225769043,51
4,0.9978476108480413,0.9979491386382281,SVM,1.3438570499420166,51
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.022717952728271484,52
1,1.0,1.0,Decision Tree,0.008882999420166016,52
2,1.0,1.0,Random Forest,0.06276202201843262,52
3,1.0,1.0,K-Nearest Neighbors,0.28545308113098145,52
4,0.9978476108480413,0.9979491386382281,SVM,1.2830891609191895,52
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.025608062744140625,53
1,1.0,1.0,Decision Tree,0.009721755981445312,53
2,1.0,1.0,Random Forest,0.07592487335205078,53
3,1.0,1.0,K-Nearest Neighbors,0.3295102119445801,53
4,0.9978476108480413,0.9979491386382281,SVM,1.5032892227172852,53
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.024198055267333984,54
1,1.0,1.0,Decision Tree,0.009628057479858398,54
2,1.0,1.0,Random Forest,0.06369996070861816,54
3,1.0,1.0,K-Nearest Neighbors,0.34739065170288086,54
4,0.9978476108480413,0.9979491386382281,SVM,1.481553077697754,54
0,0.9974160206718347,0.9975389663658737,Logistic Regression,0.023369789123535156,55
1,1.0,1.0,Decision Tree,0.010461091995239258,55
